Rank,City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,x1,x54,Air_Pollution_2023,Education,Taxation,Internet Access
1,The Hague,Netherlands,223.8,138.9,79.8,80.7,60.2,5.9,21.0,17.5,90.6,,,,4.306500000000001,4.954999999999999,6.5135000000000005
2,Luxembourg,Luxembourg,220.6,175.9,71.4,76.6,62.0,9.2,27.7,21.6,82.6,20.49,4135.59,,3.4795,7.151,5.458
3,Eindhoven,Netherlands,217.5,139.4,78.1,78.9,62.2,6.0,24.5,19.2,85.4,17.14,3511.81,13.0,5.0805,4.954999999999999,7.658999999999999
4,Rotterdam,Netherlands,214.2,139.1,71.6,81.2,61.3,5.5,22.9,24.0,87.9,16.1,3122.24,10.6,4.306500000000001,4.954999999999999,5.852500000000001
5,Zurich,Switzerland,208.1,181.2,77.2,70.3,100.4,12.9,38.1,24.4,81.5,26.42,6570.44,10.3,7.2875,6.4285000000000005,7.2675
6,Copenhagen,Denmark,201.5,123.7,74.3,77.2,75.7,8.2,27.7,21.3,83.7,19.55,3595.94,8.6,5.301,5.0680000000000005,7.239500000000001
7,Vienna,Austria,197.9,113.1,69.9,79.6,64.3,12.7,22.8,16.3,81.8,15.58,2662.28,10.5,4.854500000000001,2.666,6.173
8,Helsinki,Finland,196.9,111.7,75.5,80.0,66.3,10.8,25.3,12.7,62.8,13.5,2834.36,5.5,5.4545,4.8785,5.1035
9,Geneva,Switzerland,196.2,152.2,69.3,71.0,101.7,12.0,32.1,25.6,82.6,26.42,5792.65,,5.186,6.4285000000000005,8.378499999999999
10,Frankfurt,Germany,194.5,142.3,53.9,76.7,63.7,8.2,23.8,32.7,84.7,14.02,3337.85,,5.2065,3.9035,4.079
11,Stuttgart,Germany,194.3,145.7,65.5,76.7,64.2,7.5,29.0,38.9,81.1,12.46,3280.17,11.1,5.0505,3.9035,5.124
12,Amsterdam,Netherlands,194.1,112.2,71.1,78.3,69.7,11.3,24.2,24.6,87.5,19.22,3606.11,10.0,6.18,4.954999999999999,4.523000000000001
13,Reykjavik,Iceland,193.8,104.9,75.8,68.6,83.9,7.3,21.2,15.1,68.8,17.65,3331.49,3.3,4.057,4.4655000000000005,6.742
14,Perth,Australia,193.8,140.8,58.3,71.2,69.6,5.5,42.4,27.7,95.7,16.77,4179.62,6.0,5.143,4.5885,4.1785
15,Austin,UnitedStates,193.3,166.0,58.8,68.8,66.8,3.3,37.2,43.1,82.1,,,,5.315000000000001,4.772,9.049
16,Brisbane,Australia,193.3,135.2,63.3,74.5,67.9,8.7,40.8,28.5,98.1,13.41,4031.8,3.5,5.920999999999999,4.5885,4.407500000000001
17,Abu Dhabi,UnitedArabEmirates,192.4,160.5,88.2,71.1,54.1,5.8,32.9,46.9,43.9,,,,,,
18,Melbourne,Australia,192.3,142.8,56.3,73.0,67.8,7.6,41.8,27.5,94.3,15.42,4063.98,4.8,6.2205,4.5885,5.896000000000001
19,Valencia,Spain,191.7,83.9,69.8,80.3,47.2,7.4,22.8,24.9,93.8,12.46,1535.37,10.9,4.266000000000001,3.894000000000001,9.14
20,Seattle,UnitedStates,190.8,162.0,46.1,71.5,81.5,5.1,43.4,31.9,91.7,,,,5.7145,4.772,4.940499999999999
21,Tampa,UnitedStates,190.5,145.7,54.7,67.8,78.0,2.9,36.2,32.5,84.7,,,,,,
22,Gothenburg,Sweden,189.6,125.2,53.6,67.3,60.8,8.3,25.3,19.4,77.5,11.43,2773.23,,4.7775,2.7495000000000003,6.1925
23,Adelaide,Australia,189.4,109.3,67.7,73.9,76.0,7.9,35.5,24.3,95.0,12.41,4023.3,3.6,5.142,4.5885,4.341
24,Edinburgh,UnitedKingdom,189.0,111.6,68.9,77.5,69.9,7.9,31.0,28.1,84.0,,,,6.092500000000001,5.9545,5.1755
25,San Diego,UnitedStates,187.6,142.3,59.6,67.9,79.8,6.5,35.2,39.8,97.1,,,,5.4575,4.488,5.999
26,Portland,UnitedStates,186.3,140.2,43.0,71.5,78.4,3.6,33.3,32.4,89.6,,,,4.2155,3.9205,5.968500000000001
27,Munich,Germany,186.3,111.7,79.7,77.4,67.8,15.6,30.8,25.0,76.0,15.58,3435.65,10.7,7.554499999999999,3.9035,5.155000000000001
28,Dallas,UnitedStates,186.2,159.1,48.1,66.4,70.5,2.8,35.2,41.9,81.9,,,,4.284,4.772,6.460999999999999
29,Glasgow,UnitedKingdom,185.8,121.6,54.9,79.0,65.2,5.1,31.3,34.2,84.8,,,,5.306500000000001,5.9545,4.252999999999999
30,Muscat,Oman,185.4,98.1,80.6,64.2,42.8,4.6,19.9,35.1,67.2,5.19,1907.3,,,,
31,Oslo,Norway,183.1,114.7,66.2,78.0,78.4,10.4,28.1,22.1,60.0,20.11,3567.74,6.8,5.144500000000001,4.752,7.9705
32,Canberra,Australia,181.6,104.0,73.6,70.6,79.3,9.5,38.2,24.1,82.7,15.42,4672.58,2.8,,,
33,Atlanta,UnitedStates,181.3,168.1,36.0,67.1,75.7,2.4,41.3,45.0,89.7,,,,6.456999999999999,4.204,6.4805
34,Tallinn,Estonia,180.1,80.3,77.7,74.8,55.3,11.7,24.7,18.8,64.3,12.46,1425.55,4.8,5.355,5.341,5.202
35,Calgary,Canada,179.8,124.1,61.5,74.1,69.5,4.2,29.0,23.4,33.1,18.61,3823.8,6.3,5.5550000000000015,7.2745000000000015,5.6705000000000005
36,Madrid,Spain,179.8,92.6,72.8,79.3,53.2,10.6,26.6,36.9,85.5,12.46,2022.6,9.4,4.291500000000001,3.894000000000001,6.241
37,Sydney,Australia,179.7,118.5,65.9,74.8,73.4,14.8,43.4,28.6,97.1,13.41,4672.95,3.1,6.725500000000001,4.5885,4.7365
38,Auckland,NewZealand,179.3,127.8,50.1,69.3,67.7,10.9,38.1,31.7,99.9,,,,5.0465,5.9315,6.8500000000000005
39,Cork,Ireland,179.2,105.5,64.2,55.8,68.6,6.3,33.9,25.9,89.8,15.58,2887.48,8.6,4.879,6.254999999999999,9.143999999999998
40,Hamburg,Germany,178.9,116.7,57.5,74.9,67.4,11.5,33.0,29.1,82.8,14.02,3127.85,10.7,4.306500000000001,3.9035,5.560499999999999
41,Stockholm,Sweden,177.7,120.3,53.8,66.6,64.7,11.4,34.1,18.5,69.7,12.38,2981.76,6.8,6.6675,2.7495000000000003,7.6135
42,Porto,Portugal,177.3,61.0,67.6,79.4,45.6,11.3,24.5,25.0,96.6,9.35,1017.59,,4.449,4.1575,4.4945
43,Ljubljana,Slovenia,176.9,80.2,78.9,67.0,51.5,13.6,26.0,22.5,76.1,10.39,1368.51,16.1,4.851999999999999,4.8100000000000005,5.4895000000000005
44,San Antonio,UnitedStates,176.6,133.5,52.2,67.9,64.5,5.3,31.7,43.9,80.6,,,,4.151999999999999,4.772,8.0745
45,Boston,UnitedStates,176.4,128.3,59.9,72.7,85.8,7.4,44.1,29.8,71.7,,,,,,
46,Brno,CzechRepublic,175.2,97.6,74.5,76.3,42.8,13.2,26.0,40.8,78.2,,,,,,
47,Split,Croatia,174.4,69.0,68.7,71.5,46.0,16.8,18.4,26.6,96.3,8.94,943.57,,,,
48,Doha,Qatar,174.3,140.8,83.9,73.4,52.2,5.6,29.2,59.9,36.0,8.24,3276.33,41.6,1.4335,10.0,3.245
49,Dubai,UnitedArabEmirates,174.1,122.7,83.7,69.7,60.0,4.9,36.3,48.7,50.3,,,,2.28,10.0,3.151
50,Edmonton,Canada,173.4,120.9,53.5,77.3,62.5,3.8,28.1,28.8,32.1,18.61,3411.77,8.6,5.948,7.2745000000000015,4.609999999999999
51,Ottawa,Canada,173.3,110.8,69.4,68.8,66.9,7.8,34.4,24.5,44.5,18.61,3334.84,6.8,5.423500000000001,7.2745000000000015,6.267499999999999
52,Tokyo,Japan,173.2,109.4,76.0,79.0,51.9,13.8,42.5,42.4,85.3,7.22,2776.24,9.2,6.980500000000001,6.033,4.835000000000001
53,Cologne,Germany,173.1,117.5,57.5,72.8,62.7,10.2,35.9,38.4,84.8,12.98,2444.84,,5.1035,3.9035,5.666
54,Vilnius,Lithuania,172.6,79.3,72.8,76.0,48.2,13.5,26.2,25.0,66.6,9.87,1261.28,14.5,3.7,6.592499999999999,7.9265
55,Zagreb,Croatia,172.0,83.1,78.7,65.1,46.8,12.2,30.0,33.3,82.2,9.63,1119.01,22.4,3.211,7.993499999999999,5.0335
56,Houston,UnitedStates,171.8,162.9,36.4,69.3,65.1,2.5,41.6,57.1,85.5,,,,4.928,4.772,6.248499999999999
57,Wellington,NewZealand,171.4,88.4,67.0,64.3,70.3,13.3,39.3,23.6,97.7,,,,4.756,5.9315,5.1745
58,Vancouver,Canada,171.3,98.1,57.7,72.0,69.1,13.7,36.7,25.5,91.2,18.24,3523.68,6.7,6.889000000000001,7.2745000000000015,4.550500000000001
59,Berlin,Germany,170.5,120.4,55.4,67.5,64.7,11.0,33.7,38.7,83.3,12.46,3086.47,12.5,7.019000000000001,3.9035,4.677999999999999
60,Victoria,Canada,169.9,79.5,58.9,66.3,72.1,13.2,32.0,18.4,92.5,18.61,3537.3,6.6,5.3815,7.2745000000000015,6.194999999999999
61,Prague,CzechRepublic,168.2,85.1,75.5,74.7,49.4,17.2,31.8,33.5,80.7,,,,,,
62,San Francisco,UnitedStates,167.6,162.1,38.5,64.5,90.5,7.3,49.8,50.0,97.3,,,,,,
63,Riyadh,SaudiArabia,167.3,138.9,74.5,64.7,49.8,2.8,32.5,63.3,44.4,,,,0.5035,10.0,4.13
64,Jeddah,SaudiArabia,165.9,126.4,73.7,60.4,45.7,3.7,30.5,66.5,66.2,,,,,,
65,Taipei,Taiwan,165.5,99.3,83.7,86.6,47.0,24.7,34.4,48.5,84.4,5.82,1852.65,9.9,5.589500000000001,7.333,5.2315000000000005
66,Denver,UnitedStates,165.4,129.7,52.9,69.7,76.6,4.5,36.0,44.3,56.3,,,,3.6245,4.346,5.418500000000001
67,Halifax,Canada,164.7,92.7,59.0,66.3,67.5,9.5,31.4,24.1,59.0,14.89,3047.9,4.5,5.42,7.2745000000000015,6.123500000000001
68,Washington,UnitedStates,164.5,132.6,39.9,70.1,82.5,6.8,41.2,42.1,81.6,,,,,,
69,Pune,India,164.5,155.2,59.0,65.7,24.1,6.1,44.1,71.3,74.3,3.67,789.54,51.2,,,
70,Phoenix,UnitedStates,163.0,148.8,46.3,67.2,68.5,3.0,33.0,57.1,53.8,,,,,,
71,Singapore,Singapore,162.5,111.1,77.0,71.9,76.7,18.7,40.7,32.5,57.5,10.92,4497.08,13.3,8.2465,9.959,8.447
72,Las Vegas,UnitedStates,161.4,142.4,44.5,54.1,68.5,3.3,27.4,52.1,57.4,,,,3.6245,4.772,5.3035
73,Cluj-Napoca,Romania,160.4,75.9,77.8,65.7,39.2,12.2,29.7,43.5,74.3,7.4,861.38,26.4,2.4480000000000004,6.839,8.6655
74,Cape Town,SouthAfrica,159.3,105.2,26.2,68.8,35.2,5.4,42.5,38.7,98.2,,,,0.8945000000000001,5.151,5.612500000000001
75,Miami,UnitedStates,158.6,105.1,47.3,63.6,77.0,6.0,42.9,38.9,85.7,,,,,,
76,Timisoara,Romania,158.2,70.8,74.5,71.2,38.0,9.8,24.3,56.2,82.0,6.34,782.16,13.8,,,
77,Montreal,Canada,158.0,102.4,67.6,62.5,62.9,10.6,39.7,33.7,52.4,14.89,2815.81,7.9,7.299000000000001,7.2745000000000015,4.478000000000001
78,Tel Aviv-Yafo,Israel,157.9,99.1,73.8,73.8,69.1,24.1,35.7,45.9,93.9,18.93,3172.97,19.6,,,
79,Bangalore,India,155.9,171.0,45.6,65.1,25.8,6.5,53.7,82.9,89.4,3.06,983.32,,,,
80,Toronto,Canada,155.8,107.6,56.7,74.3,66.3,13.2,44.7,37.4,65.3,18.61,3153.29,8.5,7.602500000000001,7.2745000000000015,4.383
81,Lisbon,Portugal,155.0,55.7,70.2,73.5,49.0,19.1,34.6,35.0,98.6,12.46,1099.9,7.5,4.48,4.1575,6.394000000000001
82,Manchester,UnitedKingdom,153.4,103.2,44.7,74.4,65.7,7.3,39.0,53.3,86.9,,,,5.652,5.9545,5.814
83,Bratislava,Slovakia,152.7,74.6,69.6,55.6,49.7,16.1,30.6,37.0,80.7,8.31,1261.04,13.4,3.2975,4.937,4.583500000000001
84,Riga,Latvia,152.4,68.3,61.2,60.5,50.9,8.8,31.1,37.8,74.7,10.39,1058.48,,4.090999999999999,5.929,5.841000000000001
85,Poznan,Poland,151.6,90.8,71.7,57.0,41.3,9.3,32.5,59.2,77.4,6.66,956.86,16.8,,,
86,Gdansk,Poland,151.3,95.6,67.3,51.0,41.3,12.2,30.1,52.2,75.5,6.66,1116.63,14.9,4.6615,5.097,5.036
87,Hyderabad,India,150.6,127.2,56.8,65.3,22.8,5.0,42.4,76.1,73.5,2.45,514.72,42.5,0.0,3.4145,5.540000000000001
88,Chicago,UnitedStates,149.8,126.3,34.0,65.2,80.2,3.3,41.8,50.5,66.1,,,,,,
89,Warsaw,Poland,149.7,95.4,74.6,58.4,43.9,12.2,34.7,60.1,74.6,7.78,1256.6,15.3,4.668500000000001,5.097,6.0
90,Pretoria,SouthAfrica,149.6,118.8,18.1,66.3,35.3,2.0,45.0,56.0,95.8,,,,,,
91,Dublin,Ireland,148.6,100.8,46.9,51.2,69.3,9.5,40.6,41.3,85.9,18.7,3131.83,7.1,5.6065,6.254999999999999,8.3435
92,Brussels,Belgium,148.4,105.0,44.4,73.6,66.6,7.0,36.8,61.6,83.8,15.58,2736.44,10.5,6.6530000000000005,1.883,7.5715
93,Limassol,Cyprus,148.3,76.3,62.8,51.3,57.0,10.4,20.6,59.5,95.7,15.58,1506.78,14.4,,,
94,Wroclaw,Poland,147.8,88.9,73.8,57.4,42.5,11.2,34.0,61.9,78.4,7.78,1015.52,18.6,4.161500000000001,5.097,5.761500000000001
95,Nizhny Novgorod,Russia,147.3,52.2,71.8,74.5,30.2,16.1,27.1,32.6,45.5,,,,,,
96,Barcelona,Spain,146.8,87.4,48.6,76.9,54.0,12.0,30.5,63.6,95.7,14.54,1924.32,13.0,5.029000000000002,3.894000000000001,6.467999999999999
97,Seoul,SouthKorea,146.0,110.7,75.8,83.0,65.9,25.8,42.4,57.7,68.4,,,,6.8655,6.6075,7.637
98,Durban,SouthAfrica,145.6,91.7,19.4,58.6,32.9,4.7,25.5,53.1,95.6,,,,,,
99,Varna,Bulgaria,143.4,62.4,64.6,63.8,38.7,9.7,28.9,59.7,85.1,6.37,733.75,,,,
100,Izmir,Turkey,143.2,54.3,67.6,73.1,37.9,9.9,39.9,60.3,96.9,3.76,315.66,23.6,,,
101,London,UnitedKingdom,142.8,115.3,45.4,70.0,78.7,14.3,45.2,58.0,88.3,,,,9.027,5.9545,5.8455
102,Winnipeg,Canada,142.3,97.4,39.7,68.4,63.4,6.2,31.3,35.7,24.7,14.89,2223.69,5.0,5.344000000000001,7.2745000000000015,4.902500000000001
103,Krakow (Cracow),Poland,141.6,90.4,74.3,58.3,43.8,12.5,31.6,70.4,73.9,,,,,,
104,Montevideo,Uruguay,141.2,63.3,44.0,68.5,54.1,9.3,40.1,47.2,98.0,14.0,846.96,11.3,1.6900000000000002,4.8285,2.1785
105,Johannesburg,SouthAfrica,140.3,110.8,19.2,60.2,38.4,2.7,40.9,61.7,91.4,,,,0.7585,5.151,2.8375
106,Los Angeles,UnitedStates,139.9,122.9,47.0,61.3,80.9,7.3,57.1,67.7,95.5,,,,8.6245,4.7675,5.496500000000001
107,Turin,Italy,139.6,85.4,48.1,66.2,57.2,8.0,28.0,68.9,85.7,13.5,1606.7,,4.1015,2.4365,2.369
108,Rome,Italy,137.8,78.7,50.7,63.4,54.4,14.8,37.9,54.6,93.7,16.1,1549.17,12.5,4.157000000000001,2.4365,4.491
109,Curitiba,Brazil,137.7,40.6,38.0,66.8,29.6,17.3,32.7,31.2,99.6,4.66,479.37,13.5,1.0165000000000002,2.8525,3.1420000000000003
110,Sofia,Bulgaria,137.0,82.7,60.0,58.5,40.8,9.6,31.0,68.4,76.0,10.62,996.71,19.1,2.0145,8.720500000000001,6.272500000000001
111,Kuwait City,Kuwait,136.2,124.1,70.2,57.8,43.3,9.4,34.5,71.1,20.2,6.5,1936.14,57.3,,,
112,Ankara,Turkey,136.1,54.7,60.5,69.2,37.1,9.0,36.2,65.0,91.5,3.76,368.3,14.1,2.0285,4.323499999999999,2.3160000000000003
113,Brasilia,Brazil,134.9,42.8,40.6,51.8,31.7,17.8,30.6,30.0,99.0,5.59,603.31,,,,
114,Hong Kong,HongKong(China),134.5,109.3,78.4,66.0,70.8,30.0,41.9,67.0,83.6,,,,9.711,8.380499999999998,6.2275
115,Budapest,Hungary,134.4,68.8,65.9,52.1,43.6,13.8,39.0,53.1,78.4,7.93,941.34,11.8,3.693,6.1075,6.759
116,Novi Sad,Serbia,133.3,50.9,60.8,49.9,39.3,16.9,18.2,53.2,84.0,5.75,604.4,22.3,,,
117,New York,UnitedStates,132.6,100.0,49.2,62.7,100.0,13.0,43.6,58.3,79.7,,,,8.0935,3.9205,7.0985
118,Paris,France,132.0,97.5,42.3,77.3,73.6,17.5,41.3,64.5,88.4,15.58,2741.22,12.7,7.085,2.648000000000001,9.716
119,Chennai,India,131.8,101.6,60.0,69.4,21.8,9.1,46.7,74.5,53.2,2.2,546.55,25.3,0.5115000000000001,3.4145,6.825500000000001
120,Gurgaon,India,131.7,128.0,46.4,65.1,25.4,8.0,35.4,90.8,59.9,4.9,872.4,,,,
121,Islamabad,Pakistan,130.8,36.2,68.8,64.9,21.5,21.7,36.5,41.3,76.9,1.34,215.89,40.6,,,
122,Minsk,Belarus,130.0,59.5,48.2,49.0,27.8,11.9,31.2,43.0,64.4,9.89,547.78,,0.5,5.926,4.863
123,Lviv,Ukraine,130.0,44.5,61.8,61.0,25.8,15.2,32.1,48.8,69.6,4.46,452.52,10.7,0.0,5.478,5.055999999999999
124,Sarajevo,BosniaAndHerzegovina,128.7,64.3,55.5,60.7,36.4,14.2,27.0,65.7,78.2,,,,0.0,9.118,4.6475
125,Bucharest,Romania,128.7,74.3,72.0,54.8,41.3,9.5,40.9,75.2,75.6,10.56,933.79,17.1,2.4475,6.839,9.638
126,Kuala Lumpur,Malaysia,128.4,95.4,38.8,68.6,33.9,7.6,41.6,65.4,56.6,3.33,1254.22,17.6,2.527,6.1265,5.4615
127,Monterrey,Mexico,127.5,59.5,51.8,69.0,48.2,8.3,31.8,71.2,80.4,10.38,979.83,18.1,,,
128,Ahmedabad,India,124.5,63.4,67.9,67.2,22.8,7.9,39.0,72.5,49.3,2.45,432.57,53.5,,,
129,Moscow,Russia,123.5,76.5,64.2,67.1,38.9,18.8,50.4,55.2,55.8,13.1,1480.16,10.8,4.5725,6.017000000000001,6.571
130,Guadalajara,Mexico,122.2,47.9,37.5,80.0,41.2,14.4,41.8,58.9,92.8,7.78,769.29,26.4,1.2095,4.333500000000001,4.0925
131,Amman,Jordan,120.9,45.3,61.5,65.1,42.7,7.8,40.3,77.2,89.0,5.64,644.1,,,,
132,Athens,Greece,120.2,52.8,44.1,57.0,53.5,15.0,38.8,56.7,95.2,12.46,931.36,19.2,3.1625,4.1665,2.2279999999999998
133,Beijing,China,119.8,110.1,73.6,68.7,35.0,30.6,43.6,77.9,57.6,4.19,1514.55,29.8,7.971000000000002,1.4260000000000002,3.493
134,Medellin,Colombia,119.5,34.7,46.4,78.4,31.2,17.5,38.7,63.3,99.8,3.26,333.18,16.0,1.531,1.8515000000000004,4.1485
135,Yerevan,Armenia,116.8,34.0,77.7,57.3,42.1,20.1,29.8,60.7,63.4,7.5,513.02,31.5,0.0,8.055000000000001,3.9
136,Milan,Italy,116.7,60.4,48.7,71.5,67.4,20.3,35.8,67.2,88.1,20.77,1868.62,,4.283,2.4365,5.013999999999999
137,Panama City,Panama,116.5,43.6,52.8,58.8,47.6,11.5,32.8,61.4,67.8,8.0,798.95,,,,
138,Tbilisi,Georgia,115.9,35.6,74.4,55.1,35.7,14.0,40.6,71.7,84.2,9.41,471.51,16.3,,,
139,Delhi,India,115.8,121.7,41.1,66.5,23.9,8.2,57.8,90.3,58.9,4.9,586.35,,0.512,3.4145,3.588
140,Quito,Ecuador,115.8,40.3,37.0,70.1,34.6,13.0,40.1,65.1,99.0,3.5,462.19,,0.0,7.513999999999999,3.4815
141,Saint Petersburg,Russia,115.7,62.6,61.5,61.3,34.2,16.2,48.5,61.3,60.6,,,8.4,4.282,6.0445,5.6425
142,Thessaloniki,Greece,115.5,47.7,46.3,55.4,53.6,14.4,29.9,65.5,88.4,11.43,823.61,19.8,3.1635,4.1665,2.596
143,Shanghai,China,114.7,93.4,71.3,64.4,36.5,37.2,47.0,71.5,83.6,5.59,1382.83,25.4,5.6995000000000005,1.4959999999999998,2.636
144,Belgrade,Serbia,114.2,51.3,61.9,53.2,42.1,18.8,36.4,68.0,84.1,7.96,658.37,22.0,0.5,4.1665,3.863
145,Baku,Azerbaijan,114.1,38.5,69.5,47.7,32.8,14.1,37.3,74.4,91.4,5.88,402.82,19.1,0.0,5.861,1.4420000000000002
146,Istanbul,Turkey,113.7,49.4,52.2,70.0,39.1,16.1,51.4,68.1,93.0,5.36,382.09,18.0,2.1525,4.323499999999999,3.5005
147,Belo Horizonte,Brazil,112.8,28.7,39.4,64.7,30.3,17.6,43.6,52.0,98.5,4.1,310.61,,,,
148,Odessa (Odesa),Ukraine,109.2,40.4,45.9,51.0,27.2,13.9,36.6,62.6,79.0,,,,,,
149,Skopje,NorthMacedonia,108.9,53.3,53.2,54.7,34.6,13.8,27.3,83.2,76.3,,,,,,
150,Kolkata,India,106.6,69.0,54.0,59.8,21.1,8.2,59.4,78.4,60.9,2.0,536.14,50.3,,,
