model,mean_test_score,std_test_score,rank_test_score,params
GradientBoosting,0.9042048723477123,0.014396344236228268,81,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9039428474650668,0.017523970929794703,82,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9038782483306772,0.017618904139898008,83,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9034666110858209,0.011991972186964241,84,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9034496853051628,0.012000238183478312,85,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.903165235665963,0.012037196464249996,86,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9030023333793826,0.012920248324091756,87,"{'learning_rate': 0.03, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}"
ExtraTrees,0.9022956866182327,0.024992697103066414,7,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}"
GradientBoosting,0.9018205365682656,0.010560879455120393,88,"{'learning_rate': 0.03, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 1.0}"
ExtraTrees,0.9013918090730921,0.02199594880189934,8,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}"
ExtraTrees,0.90138460095851,0.021992569110537066,9,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}"
ExtraTrees,0.9012641846784512,0.019876143229259326,10,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
ExtraTrees,0.9012321980459849,0.019858922532106034,11,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
GradientBoosting,0.9011128053433748,0.01862888906736533,89,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
ExtraTrees,0.9007702614448017,0.02183882172657583,12,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}"
ExtraTrees,0.900767162539492,0.021833910272017604,13,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}"
ExtraTrees,0.9006591775805868,0.024745404560751357,14,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}"
ExtraTrees,0.9006456323657728,0.021427726293478666,15,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}"
ExtraTrees,0.9006316747973212,0.02142239352058225,16,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}"
GradientBoosting,0.9005967213612223,0.019162925829233363,90,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9005735428451068,0.013919442390095474,91,"{'learning_rate': 0.03, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.9004742910467092,0.01509732161392319,92,"{'learning_rate': 0.03, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}"
ExtraTrees,0.9001177854681124,0.02432913366478632,17,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
ExtraTrees,0.9000512063545905,0.02033214797871748,18,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
ExtraTrees,0.9000362178888309,0.020307106894872702,19,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
GradientBoosting,0.8997302583388305,0.011151743182085564,93,"{'learning_rate': 0.03, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 1.0}"
ExtraTrees,0.8993912664151873,0.024089329149063064,20,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}"
ExtraTrees,0.8993516864258513,0.021879488418836086,21,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}"
GradientBoosting,0.8992323077384139,0.01515001714501048,94,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
ExtraTrees,0.8982887175808008,0.02130692154767262,22,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
ExtraTrees,0.8982820047344939,0.021295693642541257,23,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
GradientBoosting,0.8980320314610459,0.014356198832093185,95,"{'learning_rate': 0.03, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}"
ExtraTrees,0.897628893758335,0.020604265981551396,24,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
ExtraTrees,0.897610676232419,0.024068030230615916,25,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}"
ExtraTrees,0.897604435093084,0.02381787679839124,26,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}"
ExtraTrees,0.897604435093084,0.02381787679839124,26,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}"
ExtraTrees,0.8975701730007156,0.021053304433864987,28,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
ExtraTrees,0.8968140537729754,0.024361810443817966,29,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
ExtraTrees,0.8965305208242633,0.024025935607081942,30,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}"
ExtraTrees,0.8965305208242633,0.024025935607081942,30,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}"
ExtraTrees,0.8962835062663906,0.024793348303331644,32,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}"
GradientBoosting,0.8958671675015447,0.01835931394228327,96,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.895857747134363,0.018365589465487893,97,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 1.0}"
ExtraTrees,0.895658884817277,0.02475904175015903,33,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}"
GradientBoosting,0.8954592170031436,0.018513709575086693,98,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
ExtraTrees,0.8953662261288924,0.023558776335405367,34,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
ExtraTrees,0.8953662261288924,0.023558776335405367,34,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
ExtraTrees,0.8949539822707923,0.024824791899230474,36,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
GradientBoosting,0.891977065460296,0.0174911173780812,99,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.8913002910162409,0.017745099508638822,100,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.884185056475542,0.014826686063841129,101,"{'learning_rate': 0.03, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.884087986808505,0.019253069536047707,102,"{'learning_rate': 0.03, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
RandomForest,0.8787180336700555,0.01920022030773602,1,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}"
RandomForest,0.8785674263997049,0.019023321716563027,2,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}"
RandomForest,0.8785674263997049,0.019023321716563027,2,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}"
RandomForest,0.8784223290476023,0.016859056662473275,4,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
RandomForest,0.8784223290476023,0.016859056662473275,4,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
RandomForest,0.87829566246033,0.016815650230443898,6,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
RandomForest,0.8778337650848453,0.0195937227295161,7,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.8778337650848453,0.0195937227295161,7,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}"
GradientBoosting,0.8777709983512452,0.01874687089932067,103,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
RandomForest,0.8776279297897023,0.019516755829707428,9,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.8774445767111777,0.017592443016715167,10,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.8774445767111777,0.017592443016715167,10,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}"
RandomForest,0.8773703704109307,0.017497205419950423,12,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}"
GradientBoosting,0.8771039463459207,0.01902175970739096,104,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
RandomForest,0.8770939036200431,0.01765801235932035,13,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}"
RandomForest,0.8770939036200431,0.01765801235932035,13,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}"
RandomForest,0.8770784073259064,0.017340594491163538,15,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}"
RandomForest,0.8770784073259064,0.017340594491163538,15,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}"
RandomForest,0.8770332528705701,0.01740089490961033,17,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}"
RandomForest,0.8768947110863261,0.01736809117567468,18,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}"
RandomForest,0.8767154377905115,0.018006631753262895,19,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
RandomForest,0.8767154377905115,0.018006631753262895,19,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
RandomForest,0.8763834710150802,0.018537962627836992,21,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}"
RandomForest,0.8763779389222954,0.018453351945541395,22,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}"
RandomForest,0.8763779389222954,0.018453351945541395,22,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}"
RandomForest,0.8763453006283395,0.01845804380632626,24,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
RandomForest,0.8762150700776141,0.015477764426728173,25,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
RandomForest,0.8762150700776141,0.015477764426728173,25,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
RandomForest,0.8761442371281749,0.01846830110468975,27,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}"
RandomForest,0.8761442371281749,0.01846830110468975,27,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}"
RandomForest,0.8760683054210789,0.01830057056441086,29,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}"
RandomForest,0.875992196797449,0.015426484082651628,30,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
RandomForest,0.8755816780513129,0.017015429998423485,31,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
RandomForest,0.8753465247641854,0.01722145467089816,32,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
RandomForest,0.8753465247641854,0.01722145467089816,32,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
RandomForest,0.875250936736182,0.01724439241211661,34,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
RandomForest,0.875250936736182,0.01724439241211661,34,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
RandomForest,0.8751942077746631,0.01708462684549649,36,"{'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
GradientBoosting,0.87269560060382,0.024946918158880962,105,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.8714308470722172,0.025524910264812767,106,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.8629760915498685,0.025408075810521905,107,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.8624749438838029,0.025927371845471815,108,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
